site,longitude,latitude,ve,vn,ee,en
2437,-135.44,58.42,-1.6,3.8,0.8,0.7000000000000001
2441,-135.46,58.12,-0.2,4.699999999999999,1.5,1.2
2447,-135.49,58.5,0.0,3.3000000000000003,1.1,0.8
2484,-135.66,57.96,-1.2,6.2,0.7000000000000001,0.7000000000000001
2629,-136.33,58.26,-1.1,6.800000000000001,0.8,0.7000000000000001
2915,-137.62,58.62,-14.7,34.7,0.7000000000000001,0.7000000000000001
508F,-136.36,59.45,0.7000000000000001,4.1,2.0,1.4000000000000001
5J22,-134.89,58.58,4.6000000000000005,4.9,3.8,2.0
7SUN,-135.4,59.04,0.6,4.0,1.3,1.0
ADZE,-136.38,58.21,-2.9,8.4,0.5,0.6
AID1,-136.26,58.32,-1.9,6.6000000000000005,0.8,0.7000000000000001
AIS1,-131.6,55.07,1.3,3.2,0.3,0.6
ANIT,-137.1,58.86,0.0,11.0,1.3,1.0
ANNX,-134.1,58.32,-1.9,2.6,1.0,0.8
ATLI,-133.71,59.59,1.6,2.3000000000000003,0.4,0.6
BAGO,-136.18,59.06,1.3,4.1,0.7000000000000001,0.7000000000000001
BEUT,-136.47,59.58,2.0,4.3,0.4,0.6
BIS1,-135.54,56.85,-3.0,9.1,0.3,0.6
BLCL,-126.59,52.39,-0.4,2.0,0.5,0.6
BLKP,-132.54,56.59,-1.6,2.9,1.4000000000000001,1.1
BLUE,-136.43,57.85,-6.6000000000000005,16.0,0.6,0.7000000000000001
BR39,-136.01,58.73,-0.3,3.8,0.5,0.6
BRGT,-134.91,58.6,-0.1,3.8,0.4,0.6
CANN,-138.63,59.16,-18.9,40.4,0.8,0.8
CAPE,-136.64,58.2,-6.5,10.0,1.1,0.8999999999999999
CAYO,-135.36,58.92,-0.8,4.4,1.2,1.0
CENO,-137.57,58.64,-14.9,31.7,0.5,0.7000000000000001
CHKT,-135.28,59.08,0.1,4.1,1.2,1.0
CINC,-136.49,58.8,0.8999999999999999,6.5,0.5,0.7000000000000001
CKOT,-135.22,59.09,0.4,4.4,1.7999999999999998,1.1
CLMB,-135.08,58.25,1.1,4.1,1.2,1.0
COMB,-138.64,59.67,-10.0,18.400000000000002,0.8,0.8
DACE,-136.44,58.09,-4.1,11.299999999999999,0.8,0.7000000000000001
DAM,-136.04,58.32,-2.4,6.6000000000000005,0.7000000000000001,0.8
DEAS,-130.03,58.44,2.3000000000000003,1.0,0.5,0.6
DELT,-136.38,58.36,-0.7000000000000001,7.9,0.5,0.6
DEPT,-136.49,58.3,-2.9,7.3,1.3,0.8999999999999999
DEZA,-137.05,60.38,3.0,2.6,0.4,0.6
DMP2,-135.91,58.25,-1.4000000000000001,5.4,0.7000000000000001,0.7000000000000001
DUKY,-136.02,59.42,1.9,4.0,0.5,0.7000000000000001
EA22,-135.64,58.23,0.8999999999999999,4.6000000000000005,0.8,0.8
ELD,-135.22,58.97,0.6,4.6000000000000005,0.8,0.7000000000000001
ELSE,-136.15,58.59,-0.2,5.8,0.5,0.6
EX,-136.41,58.27,-3.1,7.3,1.1,0.8999999999999999
FLAT,-138.86,59.67,-16.5,28.599999999999998,0.7000000000000001,0.7000000000000001
FNEL,-122.58,58.84,1.4000000000000001,-1.0,0.4,0.6
FROK,-137.63,58.64,-15.0,33.3,0.7000000000000001,0.7000000000000001
FS32,-135.35,59.15,1.2,4.0,0.5,0.6
FTSJ,-120.73,56.25,0.8,-0.7000000000000001,0.4,0.6
GILB,-137.52,58.66,-12.3,27.599999999999998,1.4000000000000001,1.0
GOOS,-136.04,58.21,-0.2,4.5,1.6,1.2
GUS2,-135.7,58.42,0.0,4.6000000000000005,0.3,0.6
HIDD,-138.95,59.71,-17.0,30.2,0.6,0.7000000000000001
HNSD,-135.53,59.25,1.3,4.0,0.4,0.6
ICE4,-137.49,58.67,-10.600000000000001,25.4,0.8,0.7000000000000001
JA08,-135.18,58.95,0.2,4.3,1.6,1.0
KNBG,-136.46,58.61,-0.1,6.7,0.6,0.7000000000000001
LAST,-136.14,58.98,1.0,4.0,0.8,0.7000000000000001
LEV1,-133.09,56.47,-0.6,1.9,0.3,0.6
LEV2,-133.09,56.47,-0.8999999999999999,1.9,0.3,0.6
LITU,-137.56,58.66,-13.5,29.1,0.7000000000000001,0.7000000000000001
LSTR,-135.13,58.51,-0.8,3.2,0.8,0.7000000000000001
MARG,-137.02,59.02,1.3,9.6,0.8,0.8
MART,-136.67,58.89,1.9,7.0,0.8,0.7000000000000001
MIDB,-137.53,58.57,-15.700000000000001,33.6,2.5,1.7000000000000002
MINE,-136.34,58.01,-3.1,9.1,0.6,0.7000000000000001
MLSP,-140.2,59.72,-18.2,46.7,0.6,0.7000000000000001
MOSR,-138.99,59.57,-18.700000000000003,35.699999999999996,1.2,1.0
MOTD,-138.04,60.96,2.9,3.5999999999999996,0.4,0.6
NORM,-136.69,58.27,-7.0,9.399999999999999,0.8999999999999999,0.8
NOVA,-138.56,59.57,-9.5,20.2,1.1,1.1
NQ1,-139.13,59.88,-17.2,27.7,1.0,0.8999999999999999
NQ4,-139.03,59.83,-14.6,27.3,0.8999999999999999,0.8
NSLM,-138.5,60.99,2.8000000000000003,4.8,0.4,0.6
OVAL,-136.79,58.29,-5.4,13.4,2.0,1.7000000000000002
PEEP,-136.74,58.29,-6.8999999999999995,9.8,1.1,0.8999999999999999
PRG6,-122.34,53.91,0.7000000000000001,-0.7000000000000001,0.4,0.6
R205,-136.79,58.91,0.6,9.1,0.4,0.6
RAVE,-135.08,58.4,1.1,4.6000000000000005,1.2,1.0
SARA,-136.93,58.92,0.8,9.0,0.6,0.7000000000000001
SITU,-139.4,59.67,-18.0,39.2,1.1,0.8999999999999999
SMTH,-127.19,54.82,0.8999999999999999,0.3,0.4,0.6
STCK,-135.16,58.65,0.0,3.5,0.8,0.8
STRT,-137.68,58.63,-16.4,36.1,0.6,0.7000000000000001
T187,-135.33,59.46,3.3000000000000003,2.7,2.5,2.2
TATC,-137.74,59.63,1.0,7.1,0.3,0.6
TDOG,-134.9,58.38,0.4,4.1,1.2,1.0
TENA,-135.23,57.77,-1.9,5.4,0.6,0.7000000000000001
TKHR,-134.01,58.07,-1.3,4.6000000000000005,0.8999999999999999,0.8
TLGT,-136.18,58.75,0.4,5.300000000000001,0.5,0.6
TRTH,-136.63,59.82,3.2,3.1,0.4,0.6
UDIG,-135.36,58.29,0.3,3.7,0.7000000000000001,0.7000000000000001
WARR,-138.01,58.92,-15.4,34.0,1.0,0.8999999999999999
WHB0,-135.23,58.73,1.5,3.2,1.1,0.8
WHIT,-135.22,60.75,2.8000000000000003,1.7999999999999998,0.3,0.6
X7,-137.06,60.86,3.3000000000000003,2.4,0.4,0.6
YAKU,-138.73,59.5,-15.5,31.5,0.6,0.7000000000000001
YKTT,-139.65,59.51,-19.3,45.099999999999994,0.4,0.6
KAOS,-136.5,58.43,-1.1,8.9,1.5,1.0
489F,-136.82,59.97,1.9,4.0,0.5,0.6
AB43,-136.64,58.2,-5.6000000000000005,14.6,0.3,0.6
AB50,-134.55,58.42,-1.0,3.9000000000000004,0.3,0.6
AB48,-134.65,56.25,-0.1,6.4,0.3,0.6
AB51,-132.91,56.8,-1.2,2.5,0.3,0.6
AB49,-133.07,55.58,-1.2,3.7,0.3,0.6
AB44,-135.23,59.53,0.7000000000000001,3.0,0.3,0.6
BCDL,-130.03,58.43,2.3000000000000003,0.8999999999999999,0.3,0.6
QUIC,-136.59,58.91,0.4,7.7,0.3,0.6
BMCP,-136.48,58.78,0.0,7.1,0.3,0.6
MDFC,-136.96,60.12,1.6,3.8,0.3,0.6
ELDC,-135.22,58.97,0.2,3.9000000000000004,0.3,0.6
ADLK,-138.36,60.72,3.5,6.8999999999999995,0.7000000000000001,0.7000000000000001
AISH,-137.0,61.19,3.1,4.3,0.8,0.7000000000000001
CBOU,-131.43,62.42,4.699999999999999,1.4000000000000001,0.8999999999999999,0.8
DONJ,-139.4,61.08,3.0,7.199999999999999,0.7000000000000001,0.7000000000000001
DSPT,-138.61,60.49,1.2,5.6000000000000005,1.0,0.8
FINL,-130.53,61.65,1.7999999999999998,1.5,0.5,0.6
GOAT,-137.9,60.28,5.4,6.5,0.8,0.7000000000000001
KASK,-139.29,60.76,0.8,9.200000000000001,1.0,0.8
KUSA,-136.14,60.6,3.5,2.0,0.7000000000000001,0.7000000000000001
MNTO,-136.79,62.58,4.5,1.5,0.5,0.5
ROSR,-132.49,61.97,3.7,1.1,0.5,0.5
SMPS,-129.2,60.74,3.8,-0.1,900.5,0.5
STEE,-140.21,61.22,-1.7000000000000002,7.800000000000001,1.3,1.1
TALB,-138.64,61.63,2.6,3.4000000000000004,0.7000000000000001,0.7000000000000001
UPTO,-140.19,60.77,-1.1,14.9,1.0,0.8
WLVC,-140.09,61.63,4.1,7.199999999999999,1.0,0.8999999999999999
ELIS,-141.06,60.56,-6.8999999999999995,15.700000000000001,1.2,1.0
MNFS,-141.36,60.6,-10.2,12.5,1.3,1.1
LOGN,-141.0,60.82,-3.3000000000000003,13.4,1.3,1.1
BRKN,-141.66,60.86,-6.8999999999999995,11.6,1.2,1.0
DISA,-141.67,61.07,-7.3,10.8,1.6,1.2
HAWK,-141.87,61.27,-7.7,11.200000000000001,1.7999999999999998,1.4000000000000001
DEST,-138.72,61.22,0.2,2.5,1.3,1.5
Y565,-139.44,61.59,1.1,3.5,0.8999999999999999,1.3
MCAR,-142.92,61.43,-5.8,6.6000000000000005,4.5,3.4000000000000004
AMBE,-141.48,60.01,-18.1,24.4,0.4,0.6
YAKR,-142.49,60.08,-18.799999999999997,32.7,1.0,0.8999999999999999
WHTU,-142.07,60.05,-18.799999999999997,29.6,0.4,0.6
TOYU,-141.45,60.09,-16.5,24.700000000000003,0.5,0.7000000000000001
3444,-141.37,60.03,-17.8,29.0,1.1,0.8
KICH,-141.37,60.03,-16.200000000000003,26.0,1.0,0.8999999999999999
SILA,-140.25,60.19,-17.1,27.9,1.3,1.1
3443,-141.36,59.93,-16.7,34.2,0.8999999999999999,0.8
RIOU,-141.44,59.89,-17.6,37.9,1.2,1.0
STEG,-142.09,60.49,-8.0,14.9,1.1,0.8999999999999999
MARO,-142.71,60.25,-18.400000000000002,26.8,1.3,1.1
PONR,-142.78,60.2,-16.9,27.400000000000002,1.0,0.8999999999999999
PENU,-142.46,61.19,-6.4,9.1,1.1,1.0
KIAG,-142.36,60.92,-8.6,7.9,1.6,1.3
YAHT,-141.75,60.36,-8.9,16.299999999999997,0.8999999999999999,0.8
LEPR,-141.97,60.29,-18.0,23.900000000000002,1.1,1.0
STEL,-141.04,60.38,-10.4,18.6,0.5,0.7000000000000001
RKAV,-141.35,60.3,-10.600000000000001,17.5,0.8,0.8
RALF,-141.14,60.22,-14.1,18.5,1.6,1.3
ICBD,-141.75,60.55,-11.799999999999999,14.0,0.8,0.8
YESS,-141.78,60.75,-6.4,14.399999999999999,1.4000000000000001,1.1
